id,Titre comment,Date de repinse,Reponse ou non,Liste peronnes,Nombre d'etoile
141,Bijoux commande ne ressemble pas du...,09 janvier 2023,True,Showroomprive.com,1
142,Une honte,01 fevrier 2023,True,Showroomprive.com,2
143,Vente meuble avec photos trompeuses,,True,Showroomprive.com,2
144,le produit livre est gris alors qu'il...,02 fevrier 2023,True,Showroomprive.com,1
145,La moitie de ma commande annulee et ce...,02 fevrier 2023,True,Showroomprive.com,1
146,Produit recu casse,27 janvier 2023,True,Showroomprive.com,1
147,je suis toujours en attente de mon colis,13 janvier 2023,True,Showroomprive.com,1
148,J'ai demande un point retrait pres de...,30 janvier 2023,True,Showroomprive.com,2
149,Plus que decevant !,30 janvier 2023,True,Showroomprive.com,1
150,J'ai un doute sur l'origine des...,30 janvier 2023,True,Showroomprive.com,1
151,La commande n'est pas du tout de la...,31 janvier 2023,True,Showroomprive.com,1
152,L'article reconditionne achete,06 janvier 2023,True,Showroomprive.com,1
153,Pack vendu comme un Geberit mais d'une...,31 janvier 2023,True,Showroomprive.com,1
154,J'ai commande sur Showroomprive un...,24 janvier 2023,True,Showroomprive.com,1
155,Mauvaise taille,30 janvier 2023,True,Showroomprive.com,1
156,Vetements de mauvaises qualites.,31 janvier 2023,True,Showroomprive.com,1
157,Le service apres-vente de Showroomprive...,,True,Showroomprive.com,1
158,Une catastrophe,,True,Showroomprive.com,1
159,La couleur ne correspond pas a celle...,03 janvier 2023,True,Showroomprive.com,2
160,Manque 1 article dans ma commande,27 janvier 2023,True,Showroomprive.com,1
161,colis endommage,28 janvier 2023,True,Showroomprive.com,1
162,La qualite du produit est decevante,30 janvier 2023,True,Showroomprive.com,2
163,Colis non recu malgre un avis d'envoi...,30 janvier 2023,True,Showroomprive.com,2
164,un de mes plats en verre commandes est...,28 janvier 2023,True,Showroomprive.com,2
165,Je commande sur une vente adidas le...,28 janvier 2023,True,Showroomprive.com,1
166,Rapidite d'envoi mais erreur dans la...,27 janvier 2023,True,Showroomprive.com,2
167,La paire de basket en taille 42 ne va...,19 janvier 2023,True,Showroomprive.com,1
168,Service Client minable.,,True,Showroomprive.com,1
169,J'avais passe commande pour une montre...,23 janvier 2023,True,Showroomprive.com,2
170,Je suis vraiment decu,27 janvier 2023,True,Showroomprive.com,2
171,Commande non honoree,07 janvier 2023,True,Showroomprive.com,1
172,je suis tres decue de ma commande,27 janvier 2023,True,Showroomprive.com,1
173,A revoir la protection et les accessoires!,27 janvier 2023,True,Showroomprive.com,1
174,Decu des delais de livraison trop long,04 janvier 2023,True,Showroomprive.com,2
175,Mal livre decu,25 janvier 2023,True,Showroomprive.com,1
176,Le prix par rapport a d'autres sites.,29 janvier 2023,True,Showroomprive.com,2
177,Produit defectueux,27 janvier 2023,True,Showroomprive.com,2
178,Livraison partielle inadmissible,28 janvier 2023,True,Showroomprive.com,1
179,decevant,29 janvier 2022,True,Showroomprive.com,1
180,Commande annulee,29 janvier 2023,True,Showroomprive.com,1
181,La couleur de la robe etait jaune...,27 janvier 2023,True,Showroomprive.com,1
182,Service livraison deplorable !,26 janvier 2023,True,Showroomprive.com,2
183,L'une des deux bougie est arrivee...,25 janvier 2023,True,Showroomprive.com,1
184,Livraison defaillante,26 janvier 2023,True,Showroomprive.com,2
185,Articles pas tres solides,25 janvier 2023,True,Showroomprive.com,1
186,J'ai cru faire une bonne affaire en...,28 janvier 2023,True,Showroomprive.com,1
187,J'attends toujours le retour de show...,19 janvier 2023,True,Showroomprive.com,1
188,Tres decu par les derniers articles...,20 decembre 2022,True,Showroomprive.com,1
189,Decue de ma commande Haircare club,25 janvier 2023,True,Showroomprive.com,1
190,Commande incomplete,25 janvier 2023,True,Showroomprive.com,1
191,Le sac achete a ete tasse dans notre...,27 janvier 2023,True,Showroomprive.com,1
192,Livraison disparue en point relai,14 janvier 2023,True,Showroomprive.com,1
193,Article de contre facon.c'est pas...,27 janvier 2023,True,Showroomprive.com,1
194,Je suis decue car un article manquait.,27 janvier 2023,True,Showroomprive.com,2
195,Le produit commande n'a pas ete livre.,27 janvier 2023,True,Showroomprive.com,2
196,Delai long pour la livraison que je n ai pas recu. Le livreur n a pas appele ni sonner. Rien dans la boite aux lettres. Enquete en cours.,27 janvier 2023,True,Showroomprive.com,1
197,Deception sur l'article receptionne,13 janvier 2023,True,Showroomprive.com,1
198,commande jamais recue....,17 janvier 2023,True,Showroomprive.com,1
199,J'ai commande des couteau de marque...,27 janvier 2023,True,Showroomprive.com,1
200,decue au fil du temps..,,True,Showroomprive.com,2
201,Aucune reaction plus d'un mois apres une reclamation!,21 decembre 2022,True,Showroomprive.com,1
202,Tres decue par les articles,24 janvier 2023,True,Showroomprive.com,2
203,Probleme non regle,26 janvier 2023,True,Showroomprive.com,1
204,La livraison,26 janvier 2023,True,Showroomprive.com,2
205,Je n ai pas recu la totalite de ma...,23 janvier 2023,True,Showroomprive.com,1
206,La derniere fois que j'ai achete des...,06 janvier 2023,True,Showroomprive.com,2
207,Remboursement,,True,Showroomprive.com,2
208,J'ai adresse plusieurs mails au service...,21 janvier 2023,True,Showroomprive.com,1
