,Titre comment,Date de réponse,Reponse ou non,Liste peronnes,Nombre d'étoile
2738,Troisième commande et pb,04 mai 2021,True,Showroomprive.com,1
2739,J'ai fait une commande le 19 avril,04 mai 2021,True,Showroomprive.com,2
2740,Pas de remboursement Covid,03 mai 2021,True,Showroomprive.com,1
2741,Service client peu efficace depuis quelques mois,03 mai 2021,True,Showroomprive.com,2
2742,Pas sérieux,03 mai 2021,True,Showroomprive.com,2
2743,Je déconseille totalement,02 mai 2021,True,Showroomprive.com,2
2744,Colis perdu et SAV ultra désagréable,01 mai 2021,True,Showroomprive.com,1
2745,Très mécontent de la commande et…,01 mai 2021,True,Showroomprive.com,1
2746,pas serieux du tout,01 mai 2021,True,Showroomprive.com,1
2747,Colis non reçu,30 avril 2021,True,Showroomprive.com,1
2748,J ai achetée une armoir pour mon fils…,01 mai 2021,True,Showroomprive.com,1
2749,Showroomprive catastrophique,30 avril 2021,True,Showroomprive.com,1
2750,Article rien à voir reçu,30 avril 2021,True,Showroomprive.com,1
2751,Commande jamais expédiée,30 avril 2021,True,Showroomprive.com,1
2752,j'ai fait une commande avec 3 outils…,30 avril 2021,True,Showroomprive.com,2
2753,Cette société ne connait pas le sens du…,29 avril 2021,True,Showroomprive.com,1
2754,Menteur,29 avril 2021,True,Showroomprive.com,1
2755,ATTENTION IL NE REMBOURSE PAS DES…,01 avril 2021,True,Showroomprive.com,1
2756,Trottinette électrique E-zigo achetée sur Showroomprivé,27 avril 2021,True,Showroomprive.com,1
2757,Un enfer pour recevoir un remboursement…,04 novembre 2020,True,Showroomprive.com,1
2758,À fuiiiiiiiir absolument,27 avril 2021,True,Showroomprive.com,1
2759,À fuir absolument.,09 avril 2021,True,Showroomprive.com,1
2760,"Mauvaise livraison, qualité moyenne",26 avril 2021,True,Showroomprive.com,1
2761,Si je pouvais mettre zéro je le…,26 avril 2021,True,Showroomprive.com,1
2762,Livraison et retour trop trop chers,26 avril 2021,True,Showroomprive.com,1
2763,problème toujours pas réglé,14 avril 2021,True,Showroomprive.com,1
2764,pas la qualité annoncée,24 avril 2021,True,Showroomprive.com,2
2765,Site pas fiable surtout au niveau de la livraison,24 avril 2021,True,Showroomprive.com,1
2766,A chaque commande un problème défauts…,24 avril 2021,True,Showroomprive.com,1
2767,Grosse arnaque ce site ..,24 avril 2021,True,Showroomprive.com,1
2768,Très déçue par Shoowroomprivé,24 avril 2021,True,Showroomprive.com,1
2769,"A fuir comme la peste,",23 avril 2021,True,Showroomprive.com,1
2770,Très mauvais site même en cas d erreur…,23 avril 2021,True,Showroomprive.com,1
2771,Je vais effacer l’application car le…,22 avril 2021,True,Showroomprive.com,1
2772,On peut pas mettre 0 étoiles,22 avril 2021,True,Showroomprive.com,1
2773,une tres mauvaise expérience j ai…,19 avril 2021,True,Showroomprive.com,1
2774,Très mauvaise expérience,15 avril 2021,True,Showroomprive.com,1
2775,Achat table jardin et chaises,18 avril 2021,True,Showroomprive.com,1
2776,A FUIR !!!,20 avril 2021,True,Showroomprive.com,1
2777,Fuyez !!,20 avril 2021,True,Showroomprive.com,1
2778,Bonjour j'ai commandé en mars 2021 une…,20 avril 2021,True,Showroomprive.com,1
2779,J'ai réservé un voyage l'année passée.,19 avril 2021,True,Showroomprive.com,1
2780,Je dois poser ma 3 eme journée de…,19 avril 2021,True,Showroomprive.com,1
2781,Trompé sur la marchandise,19 avril 2021,True,Showroomprive.com,1
2782,J ai commandé un quad électrique pour…,19 avril 2021,True,Showroomprive.com,1
2783,Chaise rouillé,18 avril 2021,True,Showroomprive.com,1
2784,Vraiment déçue.,18 avril 2021,True,Showroomprive.com,1
2785,Si j’avais pu mettre 0 étoile..,17 avril 2021,True,Showroomprive.com,1
2786,2 articles livrés sur 5..,17 avril 2021,True,Showroomprive.com,1
2787,Pour ma 1ere commande chez…,17 avril 2021,True,Showroomprive.com,1
2788,suite à une commande de chaussure…,17 avril 2021,True,Showroomprive.com,2
2789,INACCEPTABLE!!!,10 mars 2021,True,Showroomprive.com,1
2790,Vente montre bertha heritor,16 avril 2021,True,Showroomprive.com,1
2791,Enclos poulailler jamais reçus,16 avril 2021,True,Showroomprive.com,1
2792,TROMPERIE SUR LA MARCHANDISE,16 avril 2021,True,Showroomprive.com,1
2793,SERVICE CLIENT DE-PLO-RA-BLE,16 avril 2021,True,Showroomprive.com,1
2794,Une vrai catastrophe ce site,16 avril 2021,True,Showroomprive.com,1
2795,Retour article défectueux,03 avril 2021,True,Showroomprive.com,1
